name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
ETI COM EXPRESS TYPE CPU MODULE,Intel,COM EXPRESS,Not Available,INTEL ATOM,16,INTEL,31W,"DDR3L SODIMM, MAX 8GB",Up to 64GB eMMC,"Vin: 8.5 (9-5%) ~ 20V (19+5%), VSB: 5V±5%, RTC Battery: 2.0-3.3V","['1 X COM PORTS TX/RX, 1 X USB VIA CARRIER BOARD, 1 X USB X VIA CARRIER BOARD, 1 X SATA III VIA CARRIER BOARD']",Not Available,Not Available,60 C,-20 C,Not Available,"ETI COM Express Type CPU Module with Intel Atom xE Processor, DDR3L SODIMM memory, and multiple I/O ports.","The ETI COM Express Type CPU Module features an Intel Atom xE Processor, DDR3L SODIMM memory, and supports multiple I/O ports including COM, USB, and SATA III. It operates at a temperature range of -20 C to 60 C.","The ETI COM Express Type CPU Module is a high-performance module featuring an Intel Atom xE Processor, DDR3L SODIMM memory, and multiple I/O ports. It supports multiple display outputs including DisplayPort, DVI-D, LVDS, and eDP via the carrier board. The module operates at a wide temperature range of -20 C to 60 C, making it suitable for a variety of industrial applications.",Not Available
SDML,AXIOMTEK CO LTD,Intel Smart Display Module,False,Intel Core,Quad Core,INTEL,15 W - 25 W,DDR SODIMM G,M SSD,V - VSB,"['1x HDMI', '4x USB', '1x LAN', '1x Mic-in/Line-out']",WiFi/BT,"Windows 10, Linux",60C,0C,EMC & Safety,"Intel Smart Display Module with Intel Core processor, DDR SODIMM G memory, M SSD storage, and WiFi/BT wireless capabilities.","The SDML is an Intel Smart Display Module by Axiomtek, featuring a 4th generation Intel Core processor, DDR SODIMM G memory, and M SSD storage. It supports Intel AMT and has a power input through SDM golden finger V - VSB. The module also includes wireless capabilities with WiFi/BT.","The SDML is an Intel Smart Display Module by Axiomtek, featuring a 4th generation Intel Core processor, DDR SODIMM G memory, and M SSD storage. It supports Intel AMT and has a power input through SDM golden finger V - VSB. The module also includes wireless capabilities with WiFi/BT. It has a variety of I/O interfaces including HDMI, USB, LAN, and Mic-in/Line-out. The operating temperature ranges from 0C to 60C.",digital signage solutions across smart retail industries
EMQI C INTEL PENTIUM NCELERON NATOM XE XEE PROCESSOR QSEVEN R CPU MODULE,ARBOR TECHNOLOGY,QSEVEN R,Not Available,INTEL APOLLOLAKE SOC,eight,INTEL,6W to 15W,"ONBOARD 4GB DDRL SDRAM, UPGRADABLE TO 8GB",ONBOARD EMMC 64GB (OEM REQUEST),DC 5V,"['4 X USB PORTS, 2 X USB SUPERSPEED PORTS, 1 X PCIEX LANES, 1C INTERFACE/SDIO, 2 X SERIAL ATA PORTS']",Wi-Fi 5/Bluetooth 5.2,"WINDOWS 10 64-BIT, LINUX UBUNTU",60 DEGREES CELSIUS,0 DEGREES CELSIUS,Not Available,"INTEL PENTIUM NCELERON NATOM XE XEE PROCESSOR QSEVEN R CPU MODULE WITH ONBOARD 4GB DDRL SDRAM, UPGRADABLE TO 8GB, AND ONBOARD EMMC 64GB STORAGE. SUPPORTS WINDOWS 10 64-BIT AND LINUX UBUNTU.","THE EMQI C INTEL PENTIUM NCELERON NATOM XE XEE PROCESSOR QSEVEN R CPU MODULE IS A HIGH-PERFORMANCE MODULE WITH AN INTEL APOLLOLAKE SOC PROCESSOR. IT FEATURES ONBOARD 4GB DDRL SDRAM THAT IS UPGRADABLE TO 8GB, AND ONBOARD EMMC 64GB STORAGE. THE MODULE SUPPORTS A VARIETY OF I/O INTERFACES INCLUDING 4 X USB PORTS, 2 X USB SUPERSPEED PORTS, 1 X PCIEX LANES, 1C INTERFACE/SDIO, AND 2 X SERIAL ATA PORTS. IT OPERATES AT A TEMPERATURE RANGE OF 0 TO 60 DEGREES CELSIUS AND SUPPORTS WINDOWS 10 64-BIT AND LINUX UBUNTU.","THE EMQI C INTEL PENTIUM NCELERON NATOM XE XEE PROCESSOR QSEVEN R CPU MODULE IS A HIGH-PERFORMANCE MODULE DESIGNED BY ARBOR TECHNOLOGY. IT IS POWERED BY AN INTEL APOLLOLAKE SOC PROCESSOR AND FEATURES ONBOARD 4GB DDRL SDRAM THAT IS UPGRADABLE TO 8GB, AND ONBOARD EMMC 64GB STORAGE. THE MODULE SUPPORTS A VARIETY OF I/O INTERFACES INCLUDING 4 X USB PORTS, 2 X USB SUPERSPEED PORTS, 1 X PCIEX LANES, 1C INTERFACE/SDIO, AND 2 X SERIAL ATA PORTS. IT OPERATES AT A TEMPERATURE RANGE OF 0 TO 60 DEGREES CELSIUS AND SUPPORTS WINDOWS 10 64-BIT AND LINUX UBUNTU. THE MODULE IS DESIGNED IN THE QSEVEN R FORM FACTOR AND REQUIRES A DC 5V POWER SUPPLY FOR OPERATION.","Retail: Digital Signage, Kiosks, Mobile Point of Sale with Onboard AI5, Office Automation: UHD Imaging and Control Panels with AI Capabilities5"
MICROSOFT WORD BENDABLE EL WIRE COMPUTE MODULE DEVELOPMENT KIT,RASPBERRY PI,COMPUTE MODULE,True,Cortex-A72,4,Broadcom,Not Available,8GB LPDDR4,EMMC FLASH,MICRO USB POWER SUPPLY,"['GPIO PINS, HDMI PORT, USB PORT, TWO CAMERA PORTS, TWO DISPLAY PORTS']","2.4GHz and 5.0GHz IEEE 802.11b/g/n/ac wireless, Bluetooth 5.0, BLE",OS OF CHOICE,+85°C,-20°C,"['ELECTROMAGNETIC COMPATIBILITY DIRECTIVE (EMC) EU', 'RESTRICTION OF HAZARDOUS SUBSTANCES (ROHS) DIRECTIVE EU']","THE COMPUTE MODULE DEVELOPMENT KIT IS DESIGNED FOR DEVELOPING INDUSTRIAL APPLICATIONS. IT INCLUDES A COMPUTE MODULE IO (CMIO) BOARD, A BREAKOUT BOARD, AND VARIOUS OTHER COMPONENTS.","THE COMPUTE MODULE DEVELOPMENT KIT IS A COMPREHENSIVE SOLUTION FOR DEVELOPING INDUSTRIAL APPLICATIONS. IT INCLUDES A COMPUTE MODULE IO (CMIO) BOARD, A BREAKOUT BOARD, AND VARIOUS OTHER COMPONENTS. THE KIT PROVIDES THE FREEDOM TO ADD EXTRA COMPONENTS AND PLACE PARTS EXACTLY WHERE THE PRODUCT NEEDS THEM. THE BOARD HOSTS GPIO PINS, HDMI PORT, USB PORT, TWO CAMERA PORTS, AND TWO DISPLAY PORTS.","THE COMPUTE MODULE DEVELOPMENT KIT IS A COMPREHENSIVE SOLUTION FOR DEVELOPING INDUSTRIAL APPLICATIONS. IT INCLUDES A COMPUTE MODULE IO (CMIO) BOARD, A BREAKOUT BOARD, AND VARIOUS OTHER COMPONENTS. THE KIT PROVIDES THE FREEDOM TO ADD EXTRA COMPONENTS AND PLACE PARTS EXACTLY WHERE THE PRODUCT NEEDS THEM. THE BOARD HOSTS GPIO PINS, HDMI PORT, USB PORT, TWO CAMERA PORTS, AND TWO DISPLAY PORTS. THE KIT ALSO INCLUDES A MICRO USB POWER SUPPLY AND EMMC FLASH FOR ONBOARD STORAGE.",INDUSTRIAL APPLICATIONS
HONEYCOMB LX2K,SOLIDRUN LTD,MINI ITX,False,ARM,16,NXP,32Watts,UP TO 64GB DDR4 SODIMM DUAL CHANNEL,64GB EMMC,12VDC,"['2 X SFP PORTS', '2 X GBE RJ45', '2 X USB 3.0', '1 X USB 2.0', '1 X PCIE 3.0 X4 OPEN SLOT']",Not Available,"['LINUX KERNEL 4.X', 'MAINLINE LINUX']",95C,0C,SystemReady ES,HONEYCOMB LX2K IS A CUTTING-EDGE ARM WORKSTATION DESIGNED FOR NATIVE ARM DEVELOPMENT AND DEMANDING COMPUTING AND NETWORKING NEEDS.,"HONEYCOMB LX2K IS BASED ON NXP'S LAYSCAPE 16-CORE LXA ARM CORTEX A72 PROCESSOR. IT FEATURES 2 X SFP 10GBE, DUAL CHANNEL DDR4 SODIMM RAM UP TO 64GB, 2 X USB 3.0, 1 X USB 2.0, 2 X SATA, 64GB ONBOARD EMMC, AND 1 X PCIE 3.0 X4 OPEN SLOT FOR SUPPORT AND MUCH MORE.","HONEYCOMB LX2K IS A MINI ITX FORM FACTOR WORKSTATION SUPPORTING EASY MOUNTING IN A WIDE RANGE OF CASES AND ENCLOSURES. IT IS POWERED BY AN NXP LXA 16-CORE CORTEX ARM A72 GHZ PROCESSOR AND SUPPORTS UP TO 64GB DDR4 SODIMM DUAL CHANNEL MEMORY. IT HAS MULTIPLE CONNECTIVITY OPTIONS INCLUDING 2 X SFP PORTS, 2 X GBE RJ45, 2 X USB 3.0, 1 X USB 2.0, AND 1 X PCIE 3.0 X4 OPEN SLOT. IT RUNS ON LINUX KERNEL 4.X AND MAINLINE LINUX. THE OPERATING TEMPERATURE RANGE IS FROM 0C TO 95C.","ARM developers community, Edge data center, various networking workloads, VNF, SD-WAN, Firewall, uCPE"
CAPASGAVB FAN,AXIOMTEK CO LTD,Embedded SBC,Not Available,AMD Ryzen Embedded VB,2,AMD,Not Available,DDR SODIMM GB,Not Available,V DCin,['Not Available'],Yes,"Windows IoT, Linux Kernel",C,C,Not Available,"Embedded SBC with AMD Ryzen Embedded VB, DDR SODIMM GB memory, V DCin input voltage, operating temperature from C to C.",The CAPASGAVB FAN from Axiomtek is an embedded SBC featuring an AMD Ryzen Embedded VB processor. It supports DDR SODIMM GB memory and operates at a voltage of V DCin. The operating temperature ranges from C to C.,The CAPASGAVB FAN from Axiomtek is an embedded SBC featuring an AMD Ryzen Embedded VB processor. It supports DDR SODIMM GB memory and operates at a voltage of V DCin. The operating temperature ranges from C to C. It is designed for a variety of applications and is built to withstand harsh environments.,"Digital Signage, Smart Retail & Kiosks, Casino & Gaming Machines, IIoT & Robotics or Industrial Automation, Medical Imaging, In-Vehicle Infotainment, Smart Manufacturing, and Smart Building"
GENDPI SERIES,D SYSTEMS,Raspberry Pi,Commercial products,ARM Cortex-A72,quad-core,Broadcom,Not Available,"1 GB, 2 GB. or 4GB LPDDR3-1866","8GB, 16GB, 32GB, 64GB or 128GB eMMC flash",5V-20V,['Not Available'],802.11 a/b/g/n/ac WiFi 5 and Bluetooth 4.2 Classic + LE,Raspberry Pi Operating System (previously named Raspbian OS),Not Available,Not Available,Not Available,"The genDPi range is a Primary Display for Raspberry Pi. It features an integrated Resistive Touch panel or Capacitive Touch panel, enabling the genDPi to function with a Raspberry Pi without the need for a mouse.",The genDPi range is designed to work with the Raspberry Pi Operating System and is compatible with Pixel and Scratch. The display resolution is x pixels or x pixels. The genDPi range connects to Raspberry Pi's pin header using the genDPi Adaptor.,The genDPi range is a Primary Display for Raspberry Pi. It features an integrated Resistive Touch panel or Capacitive Touch panel. The genDPi is interfaced with a high-speed 60MHz SPI connection and uses an onboard processor for direct command interpretation and SPI communication compression. It is designed to work with the Raspberry Pi Operating System and is compatible with Pixel and Scratch. The display resolution is x pixels or x pixels. The genDPi range connects to Raspberry Pi's pin header using the genDPi Adaptor.,"Industrial automation, Commercial products"
ASUS TINKER BOARD S,ASUS,SINGLE BOARD COMPUTER (SBC),False,ARM,QUAD CORE,ROCKCHIP,Not Available,2 GB LPDDR,16 GB EMMC,5V DC,"['HDMI, Gbit LAN, USB, LVDS, SPDIF Audio, SPI, IC, UART, CSI, DSI']","WiFi, Bluetooth","Debian, Android, Yocto",60°C,0°C,Not Available,"The ASUS Tinker Board S is a single board computer with a quad-core ARM-based processor, 2GB LPDDR memory, and 16GB eMMC onboard storage. It features HDMI, Gbit LAN, USB, LVDS, SPDIF Audio, SPI, IC, UART, CSI, DSI interfaces, and supports WiFi and Bluetooth.","The ASUS Tinker Board S is a durable and stable single board computer designed for DIY enthusiasts and makers. It features a powerful quad-core ARM-based processor, 2GB LPDDR memory, and 16GB eMMC onboard storage. It supports a wide range of uses including high-quality media playback, gaming, computer vision, gesture recognition, image stabilization processing, and computational photography. It also features HDMI CEC hardware circuit for better entertainment experience and Gbit LAN for consistent Ethernet performance. The integrated WiFi and Bluetooth controller is shielded with a metal cover for minimal interference and improved radio performance.","The ASUS Tinker Board S is a single board computer designed for DIY enthusiasts and makers. It features a powerful quad-core ARM-based processor, 2GB LPDDR memory, and 16GB eMMC onboard storage. It supports a wide range of uses including high-quality media playback, gaming, computer vision, gesture recognition, image stabilization processing, and computational photography. It also features HDMI CEC hardware circuit for better entertainment experience and Gbit LAN for consistent Ethernet performance. The integrated WiFi and Bluetooth controller is shielded with a metal cover for minimal interference and improved radio performance. It also has a dedicated bus resource for the LAN port and an integrated IPEX antenna header for easy antenna replacement and upgrades.","DIY projects, gaming, computer vision, gesture recognition, image stabilization processing, computational photography"
GMBN,ADVANTECH,MINI-ITX,Not Available,INTEL ATOM,Up to eight,INTEL,6W to 15W,1GB DDR SDRAM,CompactFlash Type III,19V,"['Serial RS, IDE, SATA, CompactFlash, Parallel, DIO bit GPIO']",Up to Wi-Fi 5/Bluetooth 5.2,"Windows 10 IoT Enterprise LTSC 2021, Ubuntu, RHEL, WR Linux, Yocto Project (LTS kernel 2021), Celadon CiV (Android optimized for IA)",60C,0C,Not Available,"Intel ATOM MiniITX motherboard with dual display VGA TVOut, dual GbE LAN, serial ports, USB, CF, and PCI expansion.","The GMBN is an Intel ATOM MiniITX motherboard that supports a N GHz processor. It features dual display VGA TVOut, dual GbE LAN, serial ports, USB, CF, and PCI expansion. It also supports 1GB DDR SDRAM and has CompactFlash Type III onboard storage.","The GMBN is an Intel ATOM MiniITX motherboard that supports a N GHz processor. It features dual display VGA TVOut, dual GbE LAN, serial ports, USB, CF, and PCI expansion. It also supports 1GB DDR SDRAM and has CompactFlash Type III onboard storage. The motherboard operates at a temperature range of 0C to 60C.","Retail: Digital Signage, Kiosks, Mobile Point of Sale with Onboard AI, Office Automation: UHD Imaging and Control Panels with AI Capabilities, Healthcare: UHD Graphics and Deep Learning AI, Vision, Safety, and Security: Entry-Level Network Video Recorders (NVRs) and AI Appliances"
ALLWINNER MANYCORE LITE SOC ANDROID PAD,ALLWINNER TECHNOLOGY CO LTD,eLQFP,False,ARM Cortex-A,1,ALLWINNER TECHNOLOGY CO LTD,Not Available,"DDR/DDR2 Up to 400 MHz, 16 bits Data Bus, Memory capacity 256 MB","Supports NAND xnm xnm xnm xnm, Support NADN Samsung Toshiba Hynix",3.3,"['USB OTG', 'USB HOST', 'OHCIEHCI', 'SD Card V2.0', 'eMMC V4.1', 'SPI', 'TWI', 'UART']",Not Available,['Android'],125,-40,Not Available,"The Allwinner ManyCore Lite SoC Android Pad is a high-performance, low-power consumption device with a single ARM Cortex-A core processor. It supports DDR/DDR2 memory up to 400 MHz and has a variety of I/O interfaces.","The Allwinner ManyCore Lite SoC Android Pad is designed for optimum multimedia processing abilities. It features a single ARM Cortex-A core processor, DDR/DDR2 memory up to 400 MHz, and supports NAND storage. The device has a variety of I/O interfaces including USB OTG, USB HOST, OHCIEHCI, SD Card V2.0, eMMC V4.1, SPI, TWI, and UART. It operates on the Android operating system.","The Allwinner ManyCore Lite SoC Android Pad is a high-performance device designed for optimum multimedia processing abilities. It features a single ARM Cortex-A core processor, DDR/DDR2 memory up to 400 MHz, and supports NAND storage. The device has a variety of I/O interfaces including USB OTG, USB HOST, OHCIEHCI, SD Card V2.0, eMMC V4.1, SPI, TWI, and UART. It operates on the Android operating system and is packaged in an eLQFP form factor. The device is designed for lower power consumption and faster, easier, and cost-efficient product launch due to high integration.","['Android Pad', 'Smart EReader']"
SNOWBALL,CALAO SYSTEMS,SINGLE BOARD COMPUTER,True,ARM,DUAL CORE,STERICSSON,Not Available,1 GByte LPDDR,1 GByte eMMC,DC IN 5V,"['HDMI', 'CVBS Video OUT', 'Analog Audio OUT', 'Analog Audio IN', 'Serial Port RSOver USB', 'Ethernet', 'USB OTG HS', 'Three Expansion Connectors']","['IEEE 802.11b/g/n WLAN', 'Bluetooth BLE', 'GPS']","['Android', 'Ubuntu']",Not Available,Not Available,Not Available,"The Snowball is a low-power, low-cost single board computer based on the STEricsson Nova A processor. It enables hobbyists and professional developers to prototype new embedded designs and applications.","The Snowball is a powerful and complete mobile development platform. It is based on the Nova line of application processors and features a Dual Cortex A and Mali GPU. It supports Android and Ubuntu operating systems and has a variety of I/O interfaces including HDMI, USB, and Ethernet.","The Snowball is a low-cost mobile development platform designed and produced by Calao Systems and STEricsson. It is based on the Nova A processor and features a Dual Cortex A and Mali GPU. It has 1 GByte of LPDDR memory and 1 GByte of eMMC onboard storage. It supports Android and Ubuntu operating systems and has a variety of I/O interfaces including HDMI, USB, and Ethernet. It also has wireless capabilities including WLAN, Bluetooth, and GPS.",Designed for hobbyists and professional developers to prototype new embedded designs and applications.
4.4” Front Light Panel 12561-06,FLEX LIGHTING II LLC,Panel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12-24 VDC,['Not Available'],Not Available,Not Available,167F°,-4F°,Not Available,"4.4” Front Light Panel 12561-06 is a product of FLEx Lighting II, LLC. It operates with an input voltage of 12-24 VDC and has an operating temperature range of -4F° to 167F°.","The product is a 4.4” Memory In Pixel LCD 2.0 Display and Front Light Module, model number 12561-06, manufactured by Azumo, Inc. It is a Monochrome LCD 2.0 Assembly Memory In Pixel LCD Module with Front Light. The product operates with an input voltage of 12-24 VDC and has an operating temperature range of -4F° to 167F°.","The 4.4” Memory In Pixel LCD 2.0 Display and Front Light Module, model number 12561-06, is a product of Azumo, Inc. It is a Monochrome LCD 2.0 Assembly Memory In Pixel LCD Module with Front Light. The product has a reflective TFT and operates with an input voltage of 12-24 VDC. It has an operating temperature range of -4F° to 167F°. The product is designed for indoor, dry conditions and is compatible with iPhone iOS 10 and later, iPad iOS 10 and later, and Android 4.4 version (KitKat) and later.",Not Available
