name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
NANOULT,IEI,EPIC,False,x86,Quad Core,Intel,15W,Dual-channel DDR4 SODIMMs support up to 32GB,Optional 64GB eMMC,12V DC,"['2x HDMI, 2x DP, 2x PCIe GbE LAN, 4x USB 3.2 Gen 1, 6x RS-232/422/485']",,,60°C,-20°C,RoHS,"EPIC SBC with Intel 11th Gen Mobile Core and Celeron processors, supporting triple independent displays and multiple I/O interfaces.","The NANOULT is an EPIC SBC featuring Intel's 11th Generation Mobile Core and Celeron processors, offering robust performance with dual-channel DDR4 memory support, triple independent display outputs, and a variety of I/O interfaces including HDMI, DP, PCIe GbE LAN, and USB 3.2 Gen 1.","The NANOULT EPIC SBC is designed for high-performance applications, equipped with Intel's 11th Gen Mobile Core and Celeron processors. It supports dual-channel DDR4 SODIMMs up to 32GB, optional 64GB eMMC storage, and features a wide range of I/O interfaces including HDMI, DP, PCIe GbE LAN, USB 3.2 Gen 1, and RS-232/422/485. The board is RoHS compliant and operates within a temperature range of -20°C to 60°C, making it suitable for various industrial applications.","Industrial automation, digital signage, and embedded computing applications."
AIMB,ADVANTECH,ATX,False,x86,4,INTEL,6W,Supports up to 32 GB DDR3,8 GB eMMC NAND Flash,12V,"['VGA', 'DVI', 'Dual GbE LAN', 'USB', 'COM', 'RS-232', 'RS-422/485']","Wi-Fi, Bluetooth, 3G, 4G, NB-IoT, LPWAN",Win10/Ubuntu,60°C,0°C,"CE, FCC",Industrial motherboard supporting Intel processors with dual display and dual LAN.,"The AIMB motherboard supports Intel Core, Pentium, and Xeon processors, featuring dual display outputs, dual GbE LAN, and multiple expansion slots.","The AIMB series industrial motherboards are designed for high-performance applications, supporting Intel Core i3/i5/i7, Pentium, and Xeon processors. It features dual display outputs (VGA and DVI), dual GbE LAN, and a variety of expansion slots including PCI and PCIe. The board supports up to 32 GB of DDR3 memory and offers a range of I/O interfaces including USB, COM, and RS-232/422/485.","['Industrial automation', 'Embedded systems', 'Networking']"
PCM-NS,ADVANTECH,PC/104,False,x86,,INTEL,,"DDR2 667 MHz, 2 GB",4 GB Flash,5V,"['4 USB', '2 RS-232', '1 RS-422/485', '1 VGA', '1 LVDS', '1 Ethernet']",,"['Windows CE', 'Windows XP Embedded', 'Linux', 'VxWorks']",70°C,-40°C,,"Compact PC/104 module with Intel Atom N450, 2 GB DDR2, and 4 GB Flash storage.","The PCM-NS is a compact PC/104 module featuring an Intel Atom N450 processor, 2 GB DDR2 memory, and 4 GB onboard Flash storage. It supports multiple operating systems including Windows CE, Windows XP Embedded, Linux, and VxWorks, making it suitable for various industrial applications.","The PCM-NS series offers a robust solution for industrial applications with its Intel Atom N450 processor, 2 GB DDR2 memory, and 4 GB Flash storage. It includes a variety of I/O interfaces such as USB, RS-232, RS-422/485, VGA, LVDS, and Ethernet. The module supports extended temperature ranges from -40°C to 70°C, ensuring reliable performance in harsh environments.","['Industrial automation', 'Embedded systems', 'IoT devices']"
ARK FANLESS EMBEDDED BOX PC,ADVANTECH,BOX PC,False,X86,4,INTEL,10 watts,"DUAL CHANNEL DDR3L, UP TO 8GB","SATA HDD/SSD BAYS, MSATA",12-24 VDC,"['2 x GIGA LAN', '4 x USB', '4 x COM', '1 x VGA', '1 x PS/2', '1 x PARALLEL PORT', '8-BIT DIGITAL IO']","IEEE 802.15.4e, 2.4GHz, 128-bit AES encryption","['MICROSOFT WINDOWS EMBEDDED', 'LINUX FEDORA']",60°C,-20°C,"['EMC CE', 'FCC', 'CCC', 'BSMI', 'UL']","Fanless embedded box PC with Intel Celeron J processor, PCI/PCIe expansion slots, and wide operating temperature range.","The ARK Fanless Embedded Box PC is designed for industrial applications, featuring an Intel Celeron J processor, dual mobile HDD/SSD support, PCI/PCIe expansion slots, and a robust aluminum housing. It supports a wide range of operating temperatures and various I/O interfaces.","The ARK Fanless Embedded Box PC by Advantech is a versatile industrial computer equipped with an Intel Celeron J processor. It offers dual-channel DDR3L memory support up to 8GB, multiple I/O interfaces including USB, COM, and LAN ports, and expansion capabilities with PCI and PCIe slots. The system is housed in a durable aluminum chassis, supports a wide input voltage range of 12-24 VDC, and operates in temperatures from -20°C to 60°C. It is certified for EMC CE, FCC, CCC, BSMI, and UL standards, making it suitable for various industrial environments.","['INDUSTRIAL AUTOMATION', 'EMBEDDED SYSTEMS', 'COMMUNICATION GATEWAYS']"
SDML,AXIOMTEK,SMART DISPLAY MODULE,False,x86,4 cores,INTEL,28W,8GB DDR4 SODIMM,M.2 SSD,12V,"['HDMI, USB, DisplayPort, Ethernet']","WiFi, Bluetooth",Windows 10 (x64),60°C,0°C,"CE Class B, FCC Class B",Intel Smart Display Module with 8GB DDR4 memory and M.2 SSD storage.,"The Axiomtek SDML is a Smart Display Module featuring Intel's 8th Gen Core i3/i5/i7 and Celeron processors, supporting up to 8GB DDR4 SODIMM memory and M.2 SSD storage. It offers HDMI, USB, DisplayPort, and Ethernet connectivity.","Axiomtek's SDML module is designed for smart display applications, powered by Intel's 8th Gen processors. It supports DDR4 SODIMM memory and M.2 SSDs, with a variety of I/O options including HDMI, USB, and Ethernet. The module is suitable for commercial use, offering robust performance and connectivity options.","Smart displays, kiosks, digital signage"
EMQIN,ARBOR TECHNOLOGY,QSEVEN,False,X86,8 cores,INTEL,15W,4 GB DDR3L SDRAM,64 GB eMMC,5V,"['4 USB ports', '2 USB 3.0 SuperSpeed ports', '4 PCIe x1 lanes', '2 Serial ATA ports', '2 Intel Ethernet controllers']",802.11 a/b/g/n/ac + BT 4.2,"['Windows 10', 'Linux Ubuntu']",85°C,-40°C,"RoHS, SVHC / REACH","Qseven CPU module with Intel Apollo Lake SoC, 4GB DDR3L RAM, and 64GB eMMC storage.","The EMQIN is a Qseven CPU module featuring an Intel Apollo Lake SoC, 4GB DDR3L RAM, and 64GB eMMC storage. It supports Windows 10 and Linux Ubuntu operating systems.","The EMQIN module is designed for industrial applications, offering a robust Intel Apollo Lake SoC with integrated graphics, dual-channel LVDS, and multiple I/O options including USB, PCIe, and SATA. It is suitable for harsh environments with an operating temperature range from -40°C to 85°C.","['Industrial automation', 'Embedded systems', 'IoT devices']"
DPX-E,ADVANTECH INNOCORE,Compact,False,x86,Dual/Single,AMD,9W,Up to 8GB DDR3,"CompactFlash, CFast, SATA, mSATA",12V DC,"['Multiple USB, Ethernet, COM ports']","Wi-Fi/Bluetooth, 3g and GPS",Microsoft operating system licenses,50°C,0°C,"['EMC CE Class A', 'RoHS', 'WEEE']","Low power, compact gaming solution with AMD G-Series APU.","The DPX-E is a complete gaming solution designed for Italian AWP regulations, featuring AMD G-Series APU, low power consumption, and a robust set of gaming features.","The DPX-E system is based on the AMD G-Series embedded chipset, offering dual or single core performance with low power consumption. It includes a fanless enclosure, multiple I/O options, and is designed for the Italian gaming industry. The system supports various storage options and provides a comprehensive software API package for easy integration.","['Gaming', 'Italian AWP regulations']"
EPCB,ADVANTECH,MINI-ITX,False,x86,Up to 24 cores,INTEL,35W,"Two 260-pin SODIMM, 32GB DDR4 2133MHz SDRAM",Optional 2 x mSATA via jumper setting for Mini-PCIe slots,100-240V AC,"['USB 2.0', 'USB 3.0', 'DVI-D', 'VGA', 'DisplayPort', 'Ethernet', 'Audio']",Optional WLAN Antenna,QNX SDP 7.0 BSP,60°C,0°C,"['CE', 'FCC', 'CCC', 'CB', 'UL']",EPCB is a Mini-ITX industrial motherboard supporting Intel processors with robust I/O options and dual display capabilities.,"The EPCB is an embedded Mini-ITX motherboard designed for industrial applications, supporting Intel 6th and 7th Gen Core, Pentium, and Celeron processors. It offers dual display support, multiple I/O interfaces, and is RoHS compliant.","EPCB features a Mini-ITX form factor with support for Intel's 6th and 7th Gen Core, Pentium, and Celeron processors. It includes two 260-pin SODIMM slots for up to 32GB DDR4 2133MHz SDRAM, dual display outputs (DVI-D, VGA, DisplayPort), and a variety of I/O interfaces including USB 2.0, USB 3.0, Ethernet, and audio. The system is designed for industrial environments with a wide operating temperature range and multiple certifications.","['Industrial Automation', 'Digital Signage', 'Kiosk Systems', 'Embedded Computing']"
ARKDS,ADVANTECH,Digital Signage Platform,False,x86,Quad Core,INTEL,35W,8GB DDR3,64GB SSD,12V DC,"['4 USB, 2 HDMI, 2 LAN, 1 Audio']","['WiFi', 'Bluetooth']","['Windows 10', 'Linux', 'CentOS', 'Fedora']",60°C,-20°C,"['CE', 'FCC Class B', 'CCC', 'BSMI', 'UL']","Digital signage platform with Intel Core processor, multiple display outputs, and robust connectivity options.","The ARKDS is a digital signage platform powered by Intel's 3rd generation Core processors. It supports multiple independent displays via HDMI, offers flexible expansion options, and is designed for robust performance in various environments.","The ARKDS digital signage platform features Intel's 3rd generation Core processors, supporting up to quad-core configurations. It includes Intel HD Graphics for high-resolution display outputs, multiple HDMI ports, and extensive I/O options including USB and LAN. The system is designed for easy mounting and supports a wide range of operating systems, making it ideal for commercial digital signage applications.","['Digital Signage', 'Retail Displays', 'Information Kiosks']"
DRAGONBOARD EMBEDDED DEVELOPMENT KIT,INTRINSYC TECHNOLOGIES CORP,OPEN Q SYSTEM MODULE,True,ARM,8,QUALCOMM,,2 GB LPDDR3 RAM,16 GB eMMC Flash,12 V DC,"['USB OTG', 'USB Host', 'PCIe', 'SATA', 'SD Socket', 'Digital IO', 'Analog Audio', 'Digital Audio', 'HDMI', 'UART', 'SPI', 'GPIO']","['Wi-Fi 802.11 b/g/n/ac', 'Bluetooth', 'IZat Gen 8C GPS']",Android Marshmallow,,,,"Versatile, easy-to-use embedded development kit for IoT devices.","The DragonBoard Embedded Development Kit is a versatile platform for creating next-generation embedded IoT devices, featuring a Qualcomm Snapdragon processor, comprehensive I/O options, and integrated wireless connectivity.","Intrinsyc's DragonBoard Embedded Development Kit provides a robust platform for designing and developing smart, connected devices. It includes a Qualcomm Snapdragon processor with octa-core ARM Cortex-A53, Adreno GPU, and Hexagon DSP. The kit supports high-definition audio, multiple camera inputs, and 4K UHD displays, making it ideal for multimedia applications. It offers extensive I/O options, including USB, PCIe, SATA, and more, along with wireless connectivity options like Wi-Fi and Bluetooth.","['Embedded IoT devices', 'Smart connected devices', 'Multimedia applications']"
OVERO R IRONSTORMBY,GUMSTIX,COM,False,ARM,Single Core,TEXAS INSTRUMENTS,,MB RAM,MB NAND,3.3V – 4.2V,['Not Available'],"['Wi-Fi b/g/n', 'Bluetooth', 'BLE']",,85°C,-40°C,RoHS Compliant,Overo R IronSTORMBY COM with DaVinci Digital Video Processor and TI WiLink wireless module.,"The Overo R IronSTORMBY COM features a DaVinci Digital Video Processor with graphics acceleration and wireless capabilities including Wi-Fi b/g/n, Bluetooth, and BLE using TI's WiLink module.","The Overo R IronSTORMBY is a computer-on-module featuring a Texas Instruments DaVinci DM applications processor with ARM Cortex-A architecture. It includes MB RAM and MB NAND storage, with wireless capabilities provided by TI's WiLink module supporting Wi-Fi b/g/n, Bluetooth, and BLE. The module supports graphics processing with OpenGL and POWER SGXTM acceleration.",Wireless graphics projects
RASPBERRY PI MODEL B,RASPBERRY PI,RASPBERRY PI,True,ARM,4,BROADCOM,,1 GB RAM,Micro SD port,5V,"['4 x USB ports, GPIO, HDMI, CSI, DSI, Composite video']","WiFi, Bluetooth Low Energy",Raspberry Pi OS,85°C,0°C,Modular compliance certification for dual-band wireless LAN and Bluetooth,"Raspberry Pi Model B with Broadcom BCM Quad Core Processor, WiFi, Bluetooth, and multiple I/O ports.","The Raspberry Pi Model B is a single board computer featuring a Broadcom BCM quad-core processor, 1 GB RAM, WiFi, Bluetooth Low Energy, and a variety of I/O ports including USB, HDMI, and GPIO.","Raspberry Pi Model B is powered by a Broadcom BCM quad-core processor and includes 1 GB RAM. It supports WiFi and Bluetooth Low Energy, and offers extensive connectivity options with 4 USB ports, HDMI, CSI, DSI, and GPIO. It uses a micro SD port for loading the operating system and storing data. The device is powered via a micro USB power source supporting up to 2.5 Amps.","Educational projects, IoT applications, prototyping, and hobbyist projects."
QAIMA,ASUS,ATX,False,x86,64,INTEL,65W,64GB DDR4 2133MHz,2 x M.2 slots and 4 x SATA 6Gb/s ports,12V,"['VGA', 'HDMI', 'USB 3.1 Gen 1', 'Ethernet', 'Serial Port RS232', 'Audio jack', 'PS/2 Keyboard Port', 'PS/2 Mouse Port']",WiFi 6E,"['Microsoft Windows 10', 'Windows 11', 'Windows 10 IoT Enterprise', 'Linux Ubuntu', 'Red Hat Enterprise', 'Fedora Workstation', 'Open SUSE']",60°C,0°C,"['CE', 'FCC']","Industrial motherboard with Intel Q chipset, supporting dual displays and wide temperature range.","The QAIMA motherboard is an industrial-grade ATX board featuring Intel's Q chipset, supporting 6th and 7th Gen Intel Core processors. It offers dual display outputs via VGA and HDMI, extensive I/O options, and a wide operating temperature range, making it suitable for various industrial applications.","The QAIMA industrial motherboard is designed for robust performance in demanding environments. It supports Intel's 6th and 7th Generation Core, Pentium, and Celeron processors with a maximum TDP of 65W. The board includes dual-channel DDR4 memory support up to 64GB, multiple PCIe slots for expansion, and dual LAN ports for network connectivity. It is equipped with a variety of I/O interfaces, including USB 3.1, SATA ports, and audio jacks, and supports a wide range of operating systems, including Windows and Linux distributions.","['Industrial automation', 'Embedded systems', 'Digital signage', 'Networking']"
ROM SERIES SMARC MODULE,ADVANTECH,SMARC,True,ARM,Dual,FREESCALE,,1 GB DDR3,4 GB eMMC NAND Flash,5V,"['PCIe x1 Lane', 'SATA II', 'USB 2.0', 'USB OTG', 'UART x2', 'CAN x2', 'GPIO', 'I2C', 'Camera Input MIPI CSI-2']",IEEE 802.11ac/a/b/g/n 2*2 WLAN+BT 5.0 (option),"['Linux Kernel 2.6.35', 'Android 2.3']",85°C,-40°C,"['CE', 'FCC Class B', 'RoHS COMPLIANT']","High-performance SMARC module with Freescale ARM Cortex-A9 processor, suitable for portable applications.","The ROM Series SMARC module integrates a Freescale i.MX Cortex-A9 SoC, supporting dual-core processing, advanced graphics, and multiple I/O interfaces, designed for portable and industrial applications.","The ROM Series SMARC module features a Freescale ARM Cortex-A9 dual-core processor, 1 GB DDR3 memory, and 4 GB eMMC storage. It supports various I/O interfaces including PCIe, SATA, USB, and CAN, and is designed for high-performance applications with a focus on security and image protection.","['Portable applications', 'Industrial automation', 'Embedded systems']"
